1,1,0
1,2,14047
1,3,6069
1,4,8156
1,5,9221
1,6,12355
1,7,12633
1,8,11411
1,9,10344
1,10,10663
1,11,9733
1,12,8529
1,13,14600
1,14,10985
1,15,12154
1,16,11815
1,17,12031
1,18,13062
1,19,13177
1,20,14446
1,21,13809
1,22,13408
1,23,12288
1,24,13428
2,1,14138
2,2,0
2,3,8047
2,4,5886
2,5,4855
2,6,1712
2,7,5235
2,8,3973
2,9,6260
2,10,6603
2,11,7507
2,12,9593
2,13,14815
2,14,9180
2,15,8106
2,16,5514
2,17,6014
2,18,6618
2,19,7160
2,20,8429
2,21,9800
2,22,9390
2,23,10483
2,24,11458
3,1,6091
3,2,7978
3,3,0
3,4,2087
3,5,3152
3,6,6286
3,7,6564
3,8,5342
3,9,4275
3,10,4594
3,11,3664
3,12,3281
3,13,9667
3,14,4916
3,15,6085
3,16,5746
3,17,5962
3,18,6993
3,19,7108
3,20,8377
3,21,7740
3,22,7339
3,23,6219
3,24,7359
4,1,8248
4,2,5887
4,3,2157
4,4,0
4,5,1061
4,6,4195
4,7,4473
4,8,3251
4,9,2471
4,10,2786
4,11,2716
4,12,3950
4,13,9528
4,14,3968
4,15,4264
4,16,3842
4,17,4058
4,18,5089
4,19,5204
4,20,6473
4,21,5973
4,22,5562
4,23,5271
4,24,6409
5,1,9310
5,2,4852
5,3,3219
5,4,1058
5,5,0
5,6,3160
5,7,3437
5,8,2215
5,9,1512
5,10,1844
5,11,2652
5,12,4737
5,13,9960
5,14,4325
5,15,3392
5,16,2839
5,17,3054
5,18,4086
5,19,4201
5,20,5470
5,21,5113
5,22,4703
5,23,5628
5,24,6648
6,1,12443
6,2,1706
6,3,6352
6,4,4191
6,5,3160
6,6,0
6,7,3527
6,8,2266
6,9,4565
6,10,4908
6,11,5812
6,12,7898
6,13,13120
6,14,7485
6,15,6411
6,16,3802
6,17,4302
6,18,4911
6,19,5448
6,20,6717
6,21,8105
6,22,7695
6,23,8788
6,24,9763
7,1,12820
7,2,5352
7,3,6729
7,4,4568
7,5,3538
7,6,3654
7,7,0
7,8,1264
7,9,3659
7,10,3997
7,11,5168
7,12,7350
7,13,12203
7,14,6772
7,15,5532
7,16,2756
7,17,3256
7,18,2132
7,19,4403
7,20,5671
7,21,7190
7,22,6780
7,23,7929
7,24,8848
8,1,11596
8,2,4088
8,3,5505
8,4,3344
8,5,2313
8,6,2390
8,7,1262
8,8,0
